"company_id","keyword_id","keyword_slug","company_name","subcategory_slug","is_recruiting_agency","confidence","jobs","jobs_last_180_days","jobs_last_30_days","jobs_last_7_days","jobs_source_description","jobs_source_description_last_180_days","jobs_source_description_last_30_days","jobs_source_description_last_7_days","jobs_source_title","jobs_source_title_last_180_days","jobs_source_title_last_30_days","jobs_source_title_last_7_days","jobs_source_url","jobs_source_url_last_180_days","jobs_source_url_last_30_days","jobs_source_url_last_7_days","first_date_found","last_date_found","first_date_found_source_job_description","last_date_found_source_job_description","first_date_found_source_job_title","last_date_found_source_job_title","first_date_found_source_job_url","last_date_found_source_job_url","technology_rank_source_jobs","technology_rank_180_days_source_jobs","rank_last_date_found_source_job_url","rank_1_tie_source_jobs","rank_180_days_tie_source_jobs","relative_occurrence_within_category_source_jobs","relative_occurrence_within_category_180_days_source_jobs"
"170b1d363bd8516fbf3a3eb05d4faff6",8,"activecampaign","Netflix","marketing-automation",false,"high",40,20,5,1,40,20,5,1,0,0,0,0,0,0,0,0,"2023-10-23","2025-04-02","2023-10-23","2025-04-02",\N,\N,\N,\N,1,1,1,false,false,0.754717,0.8333333
"d7a9a3e2a98999afaa77e64983165058",8,"activecampaign","TikTok","marketing-automation",false,"medium",41,23,11,0,46,23,11,0,0,0,0,0,0,0,0,0,"1983-10-29","2025-03-28","1983-10-29","2025-03-28",\N,\N,\N,\N,2,2,1,false,false,0.36607143,0.4509804
"110d0ce0f5db00524a5e4a908709ff99",8,"activecampaign","Envato","marketing-automation",false,"low",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"2020-12-10","2021-12-24","2020-12-10","2021-12-24",\N,\N,\N,\N,1,1,1,true,true,0.4,0
"cdd16461ab27f5bce52a8d94f8632292",8,"activecampaign","Harvard University","marketing-automation",false,"low",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2024-08-30","2024-08-30","2024-08-30","2024-08-30",\N,\N,\N,\N,5,3,1,false,false,0.03448276,0
"530f21a73dc969866c85ce264a794ecd",8,"activecampaign","Orbo.ai","marketing-automation",false,"low",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"2023-08-07","2023-09-15","2023-08-07","2023-09-15",\N,\N,\N,\N,2,2,1,false,false,0.4,0
"de9402e6c300b9f0f44bc9166a4604fa",12,"acuity-scheduling","Squarespace","appointments-and-scheduling",false,"high",44,14,1,1,44,14,1,1,2,1,1,1,0,0,0,0,"2021-02-18","2025-04-03","2021-02-18","2025-04-03","2022-12-07","2025-04-03",\N,\N,1,1,1,false,false,0.9777778,1
"b52ad9f8b35070955a0d0f5f460604ef",17,"adobe-illustrator","Amazon Web Services, Inc.","graphic-design-software",false,"high",28,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,"2021-02-05","2024-03-28","2021-02-05","2024-03-28",\N,\N,\N,\N,1,1,1,false,true,0.24561404,0
"776828efa2737f017d05c533df1f8041",17,"adobe-illustrator","Canva","graphic-design-software",false,"high",47,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,"2019-05-02","2023-11-13","2019-05-02","2023-11-13",\N,\N,\N,\N,1,2,1,false,false,0.2955975,0
"af572ffffaa5a75e0c1ac3d1772ab4e2",17,"adobe-illustrator","McGraw Hill","graphic-design-software",false,"high",33,9,0,0,33,9,0,0,0,0,0,0,0,0,0,0,"2021-12-16","2025-02-05","2021-12-16","2025-02-05",\N,\N,\N,\N,1,2,1,false,false,0.26612905,0.25714287
"965b11a46418878a13732a04b3db07b3",17,"adobe-illustrator","Nike","graphic-design-software",false,"high",132,87,12,8,132,87,12,8,0,0,0,0,0,0,0,0,"2022-03-05","2025-04-03","2022-03-05","2025-04-03",\N,\N,\N,\N,1,1,1,false,false,0.3501326,0.34117648
